Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2016",2251.61,2253.58,2233.62,2238.83,2238.83,2670900000
"Dec 29, 2016",2249.5,2254.51,2244.56,2249.26,2249.26,2336370000
"Dec 28, 2016",2270.23,2271.31,2249.11,2249.92,2249.92,2392360000
"Dec 27, 2016",2266.23,2273.82,2266.15,2268.88,2268.88,1987080000
"Dec 23, 2016",2260.25,2263.79,2258.84,2263.79,2263.79,2020550000
"Dec 22, 2016",2262.93,2263.18,2256.08,2260.96,2260.96,2876320000
"Dec 21, 2016",2270.54,2271.23,2265.15,2265.18,2265.18,2852230000
"Dec 20, 2016",2266.5,2272.56,2266.14,2270.76,2270.76,3298780000
"Dec 19, 2016",2259.24,2267.47,2258.21,2262.53,2262.53,3248370000
"Dec 16, 2016",2266.81,2268.05,2254.24,2258.07,2258.07,5920340000
"Dec 15, 2016",2253.77,2272.12,2253.77,2262.03,2262.03,4168200000
"Dec 14, 2016",2268.35,2276.2,2248.44,2253.28,2253.28,4406970000
"Dec 13, 2016",2263.32,2277.53,2263.32,2271.72,2271.72,3857590000
"Dec 12, 2016",2258.83,2264.03,2252.37,2256.96,2256.96,4034510000
"Dec 09, 2016",2249.73,2259.8,2249.23,2259.53,2259.53,3884480000
"Dec 08, 2016",2241.13,2251.69,2237.57,2246.19,2246.19,4200580000
"Dec 07, 2016",2210.72,2241.63,2208.93,2241.35,2241.35,4501820000
"Dec 06, 2016",2207.26,2212.78,2202.21,2212.23,2212.23,3855320000
"Dec 05, 2016",2200.65,2209.42,2199.97,2204.71,2204.71,3895230000
"Dec 02, 2016",2191.12,2197.95,2188.37,2191.95,2191.95,3779500000
"Dec 01, 2016",2200.17,2202.6,2187.44,2191.08,2191.08,5063740000
"Nov 30, 2016",2204.97,2214.1,2198.81,2198.81,2198.81,5533980000
"Nov 29, 2016",2200.76,2210.46,2198.15,2204.66,2204.66,3706560000
"Nov 28, 2016",2210.21,2211.14,2200.36,2201.72,2201.72,3505650000
"Nov 25, 2016",2206.27,2213.35,2206.27,2213.35,2213.35,1584600000
"Nov 23, 2016",2198.55,2204.72,2194.51,2204.72,2204.72,3418640000
"Nov 22, 2016",2201.56,2204.8,2194.51,2202.94,2202.94,3957940000
"Nov 21, 2016",2186.43,2198.7,2186.43,2198.18,2198.18,3607010000
"Nov 18, 2016",2186.85,2189.89,2180.38,2181.9,2181.9,3572400000
"Nov 17, 2016",2178.61,2188.06,2176.65,2187.12,2187.12,3809160000
"Nov 16, 2016",2177.53,2179.22,2172.2,2176.94,2176.94,3830590000
"Nov 15, 2016",2168.29,2180.84,2166.38,2180.39,2180.39,4543860000
"Nov 14, 2016",2165.64,2171.36,2156.08,2164.2,2164.2,5367200000
"Nov 11, 2016",2162.71,2165.92,2152.49,2164.45,2164.45,4988050000
"Nov 10, 2016",2167.49,2182.3,2151.17,2167.48,2167.48,6451640000
"Nov 09, 2016",2131.56,2170.1,2125.35,2163.26,2163.26,6264150000
"Nov 08, 2016",2129.92,2146.87,2123.56,2139.56,2139.56,3916930000
"Nov 07, 2016",2100.59,2132,2100.59,2131.52,2131.52,3736060000
"Nov 04, 2016",2083.79,2099.07,2083.79,2085.18,2085.18,3837860000
"Nov 03, 2016",2098.8,2102.56,2085.23,2088.66,2088.66,3886740000
"Nov 02, 2016",2109.43,2111.76,2094,2097.94,2097.94,4248580000
"Nov 01, 2016",2128.68,2131.45,2097.85,2111.72,2111.72,4532160000
"Oct 31, 2016",2129.78,2133.25,2125.53,2126.15,2126.15,3922400000
"Oct 28, 2016",2132.23,2140.72,2119.36,2126.41,2126.41,4019510000
"Oct 27, 2016",2144.06,2147.13,2132.52,2133.04,2133.04,4204830000
"Oct 26, 2016",2136.97,2145.73,2131.59,2139.43,2139.43,3775200000
"Oct 25, 2016",2149.72,2151.44,2141.93,2143.16,2143.16,3751340000
"Oct 24, 2016",2148.5,2154.79,2146.91,2151.33,2151.33,3357320000
"Oct 21, 2016",2139.43,2142.63,2130.09,2141.16,2141.16,3448850000
"Oct 20, 2016",2142.51,2147.18,2133.44,2141.34,2141.34,3337170000
"Oct 19, 2016",2140.81,2148.44,2138.15,2144.29,2144.29,3362670000
"Oct 18, 2016",2138.31,2144.38,2135.49,2139.6,2139.6,3170000000
"Oct 17, 2016",2132.95,2135.61,2124.43,2126.5,2126.5,2830390000
"Oct 14, 2016",2139.68,2149.19,2132.98,2132.98,2132.98,3228150000
